Turbine_ID,Compressor_ID,Date,Fuel_Consumption_m3,CO2_Emissions_kg,NOx_Emissions_kg,SOx_Emissions_kg,Power_Output_MW,Operating_Hours,Load_Factor,Temperature_C,Pressure_Ratio,Fuel_Type,Location,Manufacturer
TURB-0001,COMP-0001,2023-01-01,3031.23,24322.88,1018.21,70.19,359.25,88694,0.78,1130.61,18.32,Diesel,Site B,Siemens
TURB-0002,COMP-0002,2023-01-02,1234.6,42232.28,2775.18,2299.02,96.95,95792,0.75,1161.91,4.42,Natural Gas,Site A,Siemens
TURB-0003,COMP-0003,2023-01-03,5877.09,34941.01,1617.21,1834.76,327.99,80692,0.69,329.08,24.84,Diesel,Site A,GE
TURB-0004,COMP-0004,2023-01-04,7045.17,45902.7,3487.01,1742.35,406.71,52006,0.65,296.73,8.03,Hydrogen,Site A,Solar
TURB-0005,COMP-0005,2023-01-05,4510.72,48380.58,1808.97,1209.52,237.02,96045,0.52,622.61,24.53,Hydrogen,Site A,GE
TURB-0006,COMP-0006,2023-01-06,9583.35,24166.85,2405.3,157.46,175.42,96305,0.87,1050.03,17.61,Hydrogen,Site A,Siemens
TURB-0007,COMP-0007,2023-01-07,2763.06,21580.83,392.63,387.65,431.25,85288,0.54,657.61,17.56,Natural Gas,Site A,Solar
TURB-0008,COMP-0008,2023-01-08,9922.36,28466.52,2358.7,1124.47,428.84,4082,0.88,960.64,23.16,Diesel,Site B,Solar
TURB-0009,COMP-0009,2023-01-09,5892.64,44995.54,149.63,1993.77,394.78,71614,0.86,595.63,22.32,Diesel,Site B,GE
TURB-0010,COMP-0010,2023-01-10,8618.06,1967.83,1867.33,2230.02,110.4,90981,0.99,913.86,6.84,Diesel,Site D,Solar
TURB-0011,COMP-0011,2023-01-11,1287.88,12366.79,1620.15,1171.65,284.39,51424,0.51,355.97,17.87,Hydrogen,Site C,Siemens
TURB-0012,COMP-0012,2023-01-12,9838.28,42042.46,3805.51,2487.71,225.64,29893,0.62,997.85,13.37,Diesel,Site C,Siemens
TURB-0013,COMP-0013,2023-01-13,7575.0,26580.86,3866.99,2450.5,351.82,35798,0.54,966.71,13.07,Diesel,Site A,Siemens
TURB-0014,COMP-0014,2023-01-14,5986.87,41831.65,2151.88,940.98,448.62,77163,0.97,308.59,1.85,Natural Gas,Site A,Mitsubishi
TURB-0015,COMP-0015,2023-01-15,148.15,32927.27,4881.79,208.8,130.97,76511,0.76,1053.42,13.86,Hydrogen,Site D,Mitsubishi
TURB-0016,COMP-0016,2023-01-16,141.72,40838.62,1325.39,1257.57,161.92,77602,0.98,185.6,3.74,Diesel,Site D,Siemens
TURB-0017,COMP-0017,2023-01-17,1772.14,21501.58,912.22,2449.74,125.88,74550,0.58,933.96,7.82,Diesel,Site C,Solar
TURB-0018,COMP-0018,2023-01-18,4131.34,1488.6,4090.15,946.29,380.79,17675,0.66,1027.64,1.75,Hydrogen,Site D,Solar
TURB-0019,COMP-0019,2023-01-19,3029.46,34025.64,2599.54,911.04,253.52,72847,0.82,1003.17,10.92,Hydrogen,Site D,Mitsubishi
TURB-0020,COMP-0020,2023-01-20,8512.43,25354.92,1057.06,794.81,243.4,48377,0.64,330.86,23.24,Natural Gas,Site C,GE
TURB-0021,COMP-0021,2023-01-21,7539.02,49184.43,1731.38,2377.62,252.8,62123,0.96,143.34,20.35,Diesel,Site C,Mitsubishi
TURB-0022,COMP-0022,2023-01-22,8930.12,6891.86,563.79,511.31,160.94,45299,0.72,83.5,2.85,Hydrogen,Site B,Solar
TURB-0023,COMP-0023,2023-01-23,3802.0,31356.92,3511.47,1116.45,122.13,19392,0.81,77.59,18.25,Natural Gas,Site D,Mitsubishi
TURB-0024,COMP-0024,2023-01-24,7888.83,15760.15,2534.28,550.93,403.72,19682,0.68,637.64,18.6,Diesel,Site C,Siemens
TURB-0025,COMP-0025,2023-01-25,8443.05,25615.32,2864.88,323.76,318.54,34509,0.6,280.26,19.79,Hydrogen,Site C,GE
TURB-0026,COMP-0026,2023-01-26,9971.2,4593.67,464.27,1119.4,363.13,9203,0.9,1051.69,16.95,Hydrogen,Site A,Solar
TURB-0027,COMP-0027,2023-01-27,7792.04,43189.17,3526.65,2024.52,156.58,69784,0.9,238.67,3.06,Diesel,Site B,Mitsubishi
TURB-0028,COMP-0028,2023-01-28,8600.67,44682.63,1539.75,68.99,94.51,91355,0.91,821.53,16.84,Natural Gas,Site D,GE
