Turbine_ID,Compressor_ID,Location,Manufacturer,Installation_Year,Last_Maintenance_Date,Operating_Hours,Next_Maintenance_Due,Power_Output_MW,Efficiency_Percent,Vibration_Level_mm_s,Temperature_C,Pressure_Ratio,Fuel_Type,Status
TURB-0001,COMP-0001,Site B,Mitsubishi,2012,2023-01-01,84737,2023-06-01,56.96,77.7,0.75,1081.49,9.49,Diesel,Operational
TURB-0002,COMP-0002,Site B,Siemens,2018,2023-01-02,78784,2023-06-02,20.64,79.06,9.67,1187.86,24.2,Diesel,Maintenance Required
TURB-0003,COMP-0003,Site D,Solar,2007,2023-01-03,39677,2023-06-03,153.02,78.37,6.25,96.81,19.81,Hydrogen,Maintenance Required
TURB-0004,COMP-0004,Site A,Mitsubishi,2004,2023-01-04,83354,2023-06-04,466.91,66.19,5.06,110.95,8.98,Hydrogen,Maintenance Required
TURB-0005,COMP-0005,Site B,Mitsubishi,2009,2023-01-05,99035,2023-06-05,376.42,84.65,4.18,269.33,6.73,Natural Gas,Out of Service
TURB-0006,COMP-0006,Site A,GE,2014,2023-01-06,10031,2023-06-06,283.98,90.03,7.52,804.86,20.54,Diesel,Operational
TURB-0007,COMP-0007,Site A,Mitsubishi,2018,2023-01-07,8716,2023-06-07,127.41,77.55,3.63,351.26,6.2,Hydrogen,Out of Service
TURB-0008,COMP-0008,Site A,Solar,2008,2023-01-08,40655,2023-06-08,359.29,91.86,7.79,619.97,15.13,Hydrogen,Maintenance Required
TURB-0009,COMP-0009,Site B,Siemens,2015,2023-01-09,63636,2023-06-09,373.02,76.88,7.14,954.31,13.44,Diesel,Operational
TURB-0010,COMP-0010,Site D,Mitsubishi,2015,2023-01-10,15586,2023-06-10,122.92,81.6,5.56,263.66,11.43,Diesel,Operational
TURB-0011,COMP-0011,Site C,Solar,2007,2023-01-11,30303,2023-06-11,356.98,62.64,8.9,378.77,11.51,Natural Gas,Operational
TURB-0012,COMP-0012,Site D,GE,2002,2023-01-12,43325,2023-06-12,68.91,65.58,3.53,886.65,18.01,Diesel,Operational
TURB-0013,COMP-0013,Site A,Siemens,2002,2023-01-13,40756,2023-06-13,59.82,89.16,0.67,58.84,3.92,Hydrogen,Operational
TURB-0014,COMP-0014,Site D,GE,2009,2023-01-14,39820,2023-06-14,37.06,69.47,3.82,920.99,10.79,Diesel,Maintenance Required
TURB-0015,COMP-0015,Site D,GE,2011,2023-01-15,37877,2023-06-15,407.0,63.56,8.77,827.72,24.26,Natural Gas,Maintenance Required
TURB-0016,COMP-0016,Site D,Mitsubishi,2014,2023-01-16,81145,2023-06-16,142.6,81.59,0.87,199.02,19.79,Diesel,Maintenance Required
TURB-0017,COMP-0017,Site C,Siemens,2014,2023-01-17,24534,2023-06-17,306.05,63.59,7.66,330.44,1.99,Diesel,Maintenance Required
TURB-0018,COMP-0018,Site D,Mitsubishi,2018,2023-01-18,81224,2023-06-18,80.8,85.99,8.27,67.71,12.01,Diesel,Out of Service
TURB-0019,COMP-0019,Site C,GE,2013,2023-01-19,67694,2023-06-19,226.79,86.19,4.34,718.63,4.25,Hydrogen,Operational
TURB-0020,COMP-0020,Site B,Solar,2010,2023-01-20,27299,2023-06-20,23.57,77.22,2.03,506.66,12.89,Hydrogen,Operational
TURB-0021,COMP-0021,Site D,Siemens,2005,2023-01-21,88418,2023-06-21,431.38,86.06,3.62,536.95,3.93,Hydrogen,Maintenance Required
TURB-0022,COMP-0022,Site A,GE,2011,2023-01-22,50718,2023-06-22,274.48,90.38,4.04,168.66,10.65,Hydrogen,Maintenance Required
TURB-0023,COMP-0023,Site B,Mitsubishi,2017,2023-01-23,55049,2023-06-23,446.35,67.51,9.33,455.16,14.31,Natural Gas,Operational
TURB-0024,COMP-0024,Site C,GE,2001,2023-01-24,50278,2023-06-24,239.21,84.68,2.92,1106.85,10.13,Hydrogen,Out of Service
TURB-0025,COMP-0025,Site C,Mitsubishi,2015,2023-01-25,92906,2023-06-25,165.0,86.31,9.73,124.45,15.1,Hydrogen,Out of Service
TURB-0026,COMP-0026,Site D,Solar,2003,2023-01-26,55266,2023-06-26,206.39,67.39,1.18,1171.2,24.65,Natural Gas,Operational
TURB-0027,COMP-0027,Site C,Solar,2003,2023-01-27,72591,2023-06-27,129.49,87.62,9.74,1025.21,7.28,Hydrogen,Maintenance Required
TURB-0028,COMP-0028,Site D,Mitsubishi,2020,2023-01-28,37451,2023-06-28,443.93,87.34,2.31,283.44,14.77,Hydrogen,Operational
TURB-0029,COMP-0029,Site A,Solar,2016,2023-01-29,36998,2023-06-29,154.85,65.98,1.76,861.24,12.58,Hydrogen,Maintenance Required
TURB-0030,COMP-0030,Site A,Solar,2019,2023-01-30,2558,2023-06-30,153.18,72.06,1.29,154.59,20.52,Diesel,Operational
TURB-0031,COMP-0031,Site B,Mitsubishi,2009,2023-01-31,92335,2023-07-01,319.49,95.76,3.23,233.62,8.9,Natural Gas,Operational
TURB-0032,COMP-0032,Site C,Mitsubishi,2017,2023-02-01,95902,2023-07-02,70.14,62.7,6.2,611.16,16.49,Hydrogen,Maintenance Required
TURB-0033,COMP-0033,Site A,Mitsubishi,2018,2023-02-02,50890,2023-07-03,117.4,68.7,6.7,510.52,17.78,Natural Gas,Operational
TURB-0034,COMP-0034,Site C,GE,2010,2023-02-03,77398,2023-07-04,220.65,81.99,3.76,987.28,24.43,Hydrogen,Operational
TURB-0035,COMP-0035,Site A,GE,2013,2023-02-04,33846,2023-07-05,99.48,96.81,2.38,1130.14,5.05,Diesel,Out of Service
TURB-0036,COMP-0036,Site B,GE,2003,2023-02-05,10972,2023-07-06,136.09,69.77,9.95,1134.24,24.96,Hydrogen,Out of Service
TURB-0037,COMP-0037,Site D,Mitsubishi,2015,2023-02-06,4163,2023-07-07,352.96,91.04,2.78,219.05,18.45,Hydrogen,Maintenance Required
TURB-0038,COMP-0038,Site D,Siemens,2002,2023-02-07,35955,2023-07-08,147.12,73.96,3.85,839.16,12.22,Diesel,Operational
TURB-0039,COMP-0039,Site C,Mitsubishi,2010,2023-02-08,92136,2023-07-09,322.23,73.39,4.86,706.4,7.69,Diesel,Out of Service
TURB-0040,COMP-0040,Site A,GE,2004,2023-02-09,50418,2023-07-10,252.26,97.85,7.42,475.76,16.27,Natural Gas,Maintenance Required
TURB-0041,COMP-0041,Site B,Siemens,2020,2023-02-10,57370,2023-07-11,386.14,91.05,1.61,1194.05,4.83,Natural Gas,Out of Service
TURB-0042,COMP-0042,Site B,GE,2001,2023-02-11,42188,2023-07-12,377.85,69.44,2.73,574.45,23.75,Hydrogen,Out of Service
TURB-0043,COMP-0043,Site D,Solar,2011,2023-02-12,35160,2023-07-13,106.8,67.05,9.97,815.13,5.83,Hydrogen,Operational
TURB-0044,COMP-0044,Site A,GE,2012,2023-02-13,48553,2023-07-14,472.19,63.2,8.27,628.27,19.7,Diesel,Out of Service
TURB-0045,COMP-0045,Site B,Siemens,2001,2023-02-14,52756,2023-07-15,403.08,78.34,4.49,168.34,9.61,Hydrogen,Out of Service
TURB-0046,COMP-0046,Site A,Solar,2004,2023-02-15,38986,2023-07-16,270.98,72.71,1.18,212.27,6.57,Natural Gas,Operational
TURB-0047,COMP-0047,Site C,GE,2018,2023-02-16,98772,2023-07-17,284.28,74.47,8.68,912.66,20.5,Diesel,Maintenance Required
TURB-0048,COMP-0048,Site B,Mitsubishi,2004,2023-02-17,45103,2023-07-18,416.13,76.39,7.85,971.94,22.36,Diesel,Operational
TURB-0049,COMP-0049,Site C,Siemens,2002,2023-02-18,45830,2023-07-19,247.23,97.66,5.85,468.39,1.63,Diesel,Operational
TURB-0050,COMP-0050,Site D,Mitsubishi,2018,2023-02-19,17980,2023-07-20,244.46,60.11,4.1,127.0,24.39,Hydrogen,Maintenance Required
TURB-0051,COMP-0051,Site D,Mitsubishi,2018,2023-02-20,96412,2023-07-21,318.79,76.19,9.36,1150.56,11.42,Natural Gas,Out of Service
TURB-0052,COMP-0052,Site A,GE,2010,2023-02-21,77716,2023-07-22,53.27,62.47,3.03,621.63,3.76,Diesel,Operational
TURB-0053,COMP-0053,Site C,Solar,2011,2023-02-22,91946,2023-07-23,295.25,85.57,3.28,204.27,12.15,Natural Gas,Operational
TURB-0054,COMP-0054,Site D,Siemens,2018,2023-02-23,9920,2023-07-24,119.71,61.92,8.77,278.23,4.29,Diesel,Operational
TURB-0055,COMP-0055,Site D,Solar,2019,2023-02-24,31875,2023-07-25,67.19,89.14,6.3,102.16,7.58,Diesel,Maintenance Required
TURB-0056,COMP-0056,Site B,Siemens,2009,2023-02-25,99237,2023-07-26,409.55,92.98,9.51,866.33,14.6,Natural Gas,Operational
TURB-0057,COMP-0057,Site B,Solar,2016,2023-02-26,94019,2023-07-27,197.09,96.89,6.49,859.71,9.94,Diesel,Operational
TURB-0058,COMP-0058,Site B,Siemens,2011,2023-02-27,14127,2023-07-28,256.38,64.59,0.43,742.88,6.85,Hydrogen,Maintenance Required
TURB-0059,COMP-0059,Site B,Siemens,2002,2023-02-28,36392,2023-07-29,153.79,97.2,1.85,678.25,6.12,Natural Gas,Out of Service
TURB-0060,COMP-0060,Site A,GE,2020,2023-03-01,59260,2023-07-30,25.14,75.67,2.89,488.71,16.46,Natural Gas,Operational
TURB-0061,COMP-0061,Site C,Solar,2007,2023-03-02,9846,2023-07-31,226.77,84.04,8.69,1143.23,22.88,Diesel,Out of Service
TURB-0062,COMP-0062,Site A,GE,2007,2023-03-03,84894,2023-08-01,377.63,60.0,8.33,970.6,2.83,Natural Gas,Maintenance Required
TURB-0063,COMP-0063,Site B,Solar,2012,2023-03-04,95599,2023-08-02,381.58,74.07,7.92,1093.76,7.24,Hydrogen,Out of Service
TURB-0064,COMP-0064,Site C,Mitsubishi,2012,2023-03-05,31055,2023-08-03,461.8,73.41,5.58,408.41,17.14,Diesel,Maintenance Required
TURB-0065,COMP-0065,Site D,Solar,2009,2023-03-06,57661,2023-08-04,421.8,79.14,1.48,1175.03,24.7,Hydrogen,Maintenance Required
TURB-0066,COMP-0066,Site B,GE,2014,2023-03-07,86011,2023-08-05,491.34,65.04,1.4,240.15,17.51,Hydrogen,Out of Service
TURB-0067,COMP-0067,Site C,Siemens,2015,2023-03-08,42292,2023-08-06,290.1,86.23,1.35,114.71,2.74,Hydrogen,Out of Service
TURB-0068,COMP-0068,Site C,Solar,2012,2023-03-09,97390,2023-08-07,34.96,82.64,8.56,417.82,5.7,Natural Gas,Operational
TURB-0069,COMP-0069,Site B,Siemens,2010,2023-03-10,81074,2023-08-08,433.06,68.07,1.5,281.48,9.67,Diesel,Maintenance Required
TURB-0070,COMP-0070,Site A,Solar,2011,2023-03-11,37510,2023-08-09,476.5,97.38,8.1,645.15,5.2,Diesel,Out of Service
TURB-0071,COMP-0071,Site B,GE,2013,2023-03-12,98953,2023-08-10,237.44,60.21,8.46,452.73,5.78,Hydrogen,Operational
TURB-0072,COMP-0072,Site C,Mitsubishi,2019,2023-03-13,92850,2023-08-11,65.83,72.76,1.14,247.51,7.93,Hydrogen,Maintenance Required
TURB-0073,COMP-0073,Site A,Mitsubishi,2002,2023-03-14,11327,2023-08-12,22.07,69.95,9.03,1020.9,10.26,Diesel,Operational
TURB-0074,COMP-0074,Site A,Mitsubishi,2014,2023-03-15,11584,2023-08-13,310.62,81.28,8.99,634.17,10.71,Diesel,Operational
TURB-0075,COMP-0075,Site A,Siemens,2010,2023-03-16,6815,2023-08-14,337.14,93.76,6.42,175.96,13.24,Hydrogen,Maintenance Required
TURB-0076,COMP-0076,Site A,GE,2002,2023-03-17,4868,2023-08-15,17.95,85.0,5.18,136.63,23.31,Diesel,Operational
TURB-0077,COMP-0077,Site C,Solar,2017,2023-03-18,1249,2023-08-16,475.14,61.81,6.51,490.66,24.84,Hydrogen,Out of Service
TURB-0078,COMP-0078,Site C,GE,2007,2023-03-19,48422,2023-08-17,275.7,92.81,4.11,1094.18,1.96,Hydrogen,Operational
TURB-0079,COMP-0079,Site B,Solar,2007,2023-03-20,58044,2023-08-18,310.01,70.07,5.93,634.2,13.1,Hydrogen,Operational
TURB-0080,COMP-0080,Site C,Mitsubishi,2012,2023-03-21,66008,2023-08-19,286.43,64.19,9.7,210.01,19.17,Hydrogen,Maintenance Required
